Name,Rarity,Type,SubType,Attunement,Notes
Potion of Giant Size,Legendary,Potion,No SubType,Not Required,"['Buff', 'Shapechanging']"

Potion of Giant Strength,Varies,Potion,No SubType,Not Required,"['Set: Strength Score', 'Buff', 'Consumable']"

Potion of Growth,Uncommon,Potion,No SubType,Not Required,"['Control', 'Utility', 'Consumable']"

Potion of Healing,Common,Potion,No SubType,Not Required,"['Bonus: Hit Points', 'Healing', 'Consumable']"

Potion of Heroism,Rare,Potion,No SubType,Not Required,"['Bonus: Temporary Hit Points', 'Healing', 'Buff', 'Consumable']"

Potion of Invisibility,Very Rare,Potion,No SubType,Not Required,"['Invisible', 'Deception', 'Consumable']"

Potion of Invulnerability,Rare,Potion,No SubType,Not Required,"['Resistance: All', 'Warding', 'Consumable']"

Potion of Longevity,Very Rare,Potion,No SubType,Not Required,"['Reduces Physical Age', 'Control', 'Buff', 'Consumable']"

Potion of Maximum Power,Rare,Potion,No SubType,Not Required,['']

Potion of Mind Control,Varies,Potion,No SubType,Not Required,"['Control', 'Consumable']"

Potion of Mind Reading,Rare,Potion,No SubType,Not Required,"['Control', 'Detection', 'Consumable']"

Potion of Poison,Uncommon,Potion,No SubType,Not Required,"['Consumable', 'Cursed']"

Potion of Possibility,Very Rare,Potion,No SubType,Not Required,['']

Potion of Resistance,Uncommon,Potion,No SubType,Not Required,"['Resistance: Acid', 'Resistance: Cold', 'Resistance: Fire', 'Resistance: Force', 'Resistance: Lightning', 'Resistance: Necrotic', 'Resistance: Poison', 'Resistance: Psychic', 'Resistance: Radiant', 'Resistance: Thunder', 'Warding', 'Consumable']"

Potion of Speed,Very Rare,Potion,No SubType,Not Required,"['Buff', 'Movement', 'Consumable']"

Potion of Vitality,Very Rare,Potion,No SubType,Not Required,"['Cures Disease', 'Removes Poison', 'Max HP from Hit Dice', 'Healing', 'Consumable']"

Potion of Watchful Rest,Common,Potion,No SubType,Not Required,['Consumable']

Potion of Water Breathing,Uncommon,Potion,No SubType,Not Required,"['Breathe Underwater', 'Buff', 'Utility', 'Consumable']"

Powered Armor,Legendary,Armor,Plate,Required,"['Bonus: Armor Class', 'Set: Strength Score', 'Advantage: Death Saving Throws', 'Str 15 Required', 'Stealth Disadvantage']"

Pressure Capsule,Common,Wondrous Item,No SubType,Not Required,"['Utility', 'Exploration', 'Consumable']"

Prismari Primer,Uncommon,Wondrous Item,No SubType,Required,"['Bonus: Acrobatics', 'Bonus: Performance', 'spellcaster']"

Professor Orb,Rare,Wondrous Item,No SubType,Not Required,"['Utility', 'Sentient']"

Professor Skant,Rare,Wondrous Item,No SubType,Not Required,"['Utility', 'Sentient']"

Propeller Helm,Uncommon,Wondrous Item,No SubType,Required,['Small humanoid']

Prosthetic Limb,Common,Wondrous Item,No SubType,Not Required,['']

Protective Verses,Rare,Wondrous Item,No SubType,Required,['wizard']

Psi Crystal,Uncommon,Wondrous Item,No SubType,Required,"['Language: Telepathy', 'creature with an Intelligence score of 3 or higher']"

Pyroconverger,Uncommon,Wondrous Item,No SubType,Required,['']

Pyxis of Pandemonium,Legendary,Wondrous Item,No SubType,Not Required,"['Buff', 'Cursed']"

Quaal's Feather Token,Rare,Wondrous Item,No SubType,Not Required,"['Creation', 'Summoning', 'Damage', 'Control', 'Movement', 'Utility', 'Exploration', 'Combat', 'Consumable']"

Quandrix Primer,Uncommon,Wondrous Item,No SubType,Required,"['Bonus: Arcana', 'Bonus: Nature', 'spellcaster']"

Quiver of Ehlonna,Uncommon,Wondrous Item,No SubType,Not Required,"['Utility', 'Container']"

Radiance,Unknown Rarity,Wand,No SubType,Required,"['Bonus: Spell Attacks', 'Spellcaster', 'Buff', 'Combat']"

Rakdos Riteknife,Legendary,Weapon,Dagger,Required,"['Bonus: Magic', 'Damage: Necrotic', 'Finesse', 'Light', 'Thrown']"

Red Dragon Mask,Legendary,Wondrous Item,No SubType,Required,"['Resistance: Fire', 'Bonus: Unarmored Armor Class', 'Sense: Darkvision', 'Sense: Blindsight', 'Language: Draconic', 'Advantage: Charisma Ability Checks', 'Buff']"

Reincarnation Dust,Very Rare,Wondrous Item,No SubType,Not Required,['']

Restorative Ointment,Uncommon,Wondrous Item,No SubType,Not Required,"['Bonus: Hit Points', 'Ceases Poison', 'Cures Diseases', 'Healing', 'Consumable']"

Reveler�s Concertina,Rare,Wondrous Item,No SubType,Required,"['Bonus: Spell Save DC', 'bard']"

Revenant Double-Bladed Scimitar,Unknown Rarity,Weapon,Double-Bladed Scimitar,Not Required,"['Weapon Property: Finesse', 'Bonus: Armor Class', 'Damage', 'Combat', 'Special', 'Two-Handed']"

Rhythm-Maker�s Drum,Varies,Wondrous Item,No SubType,Required,"['Bonus: Spell Attacks', 'Bonus: Spell Save DC', 'bard']"

Ring of Air Elemental Command,Legendary,Ring,No SubType,Required,"['Resistance: Lightning', 'Set: Innate Speed (Flying)', 'Control', 'Movement', 'Warding', 'Jewelry']"

Ring of Animal Influence,Rare,Ring,No SubType,Not Required,"['Control', 'Communication', 'Utility', 'Jewelry']"

Ring of Djinni Summoning,Legendary,Ring,No SubType,Required,"['Summoning', 'Control', 'Jewelry']"

Ring of Earth Elemental Command,Legendary,Ring,No SubType,Required,"['Resistance: Acid', 'Control', 'Movement', 'Warding', 'Jewelry']"

Ring of Elemental Command,Legendary,Wondrous Item,No SubType,Required,"['Control', 'Movement', 'Warding', 'Jewelry']"

Ring of Evasion,Rare,Ring,No SubType,Required,"['Warding', 'Jewelry']"

Ring of Feather Falling,Rare,Ring,No SubType,Required,"['Movement', 'Warding', 'Jewelry']"

Ring of Fire Elemental Command,Legendary,Ring,No SubType,Required,"['Resistance: Fire', 'Immunity: Fire', 'Damage', 'Control', 'Warding', 'Jewelry']"

Ring of Free Action,Rare,Ring,No SubType,Required,"['Negates Difficult Terrain', 'Magical Speed Reduction', 'Immune: Paralyzed or Restrained (Magical Sources)', 'Movement', 'Warding', 'Jewelry']"

Ring of Invisibility,Legendary,Ring,No SubType,Required,"['Invisible', 'Deception', 'Jewelry']"

Ring of Jumping,Uncommon,Ring,No SubType,Required,"['Buff', 'Movement', 'Jewelry']"

Ring of Mind Shielding,Uncommon,Ring,No SubType,Required,"['Deception', 'Warding', 'Jewelry']"

Ring of Obscuring,Uncommon,Ring,No SubType,Required,['']

Ring of Protection,Rare,Ring,No SubType,Required,"['Bonus: Armor Class', 'Bonus: Saving Throws', 'Warding', 'Jewelry']"

Ring of Regeneration,Very Rare,Ring,No SubType,Required,"['Regain 1d6 Hit Points Every 10 Minutes', 'Regrow Lost Body Parts', 'Healing', 'Jewelry']"

Ring of Resistance,Rare,Ring,No SubType,Required,"['Resistance: Acid', 'Resistance: Cold', 'Resistance: Fire', 'Resistance: Force', 'Resistance: Lightning', 'Resistance: Necrotic', 'Resistance: Poison', 'Resistance: Psychic', 'Resistance: Radiant', 'Resistance: Thunder', 'Warding', 'Jewelry']"

Ring of Shooting Stars,Very Rare,Ring,No SubType,Required,"['Damage', 'Utility', 'Combat', 'Jewelry']"

Ring of Spell Storing,Rare,Ring,No SubType,Required,"['Buff', 'Utility', 'Jewelry']"

Ring of Spell Turning,Legendary,Ring,No SubType,Required,"['Advantage: Saving Throws', 'Warding', 'Jewelry']"

Ring of Swimming,Uncommon,Ring,No SubType,Not Required,"['Set: Innate Speed (Swimming)', 'Movement', 'Jewelry']"

Ring of Telekinesis,Very Rare,Ring,No SubType,Required,"['Control', 'Utility', 'Jewelry']"

Ring of Temporal Salvation,Rare,Ring,No SubType,Required,['']

Ring of the Ram,Rare,Ring,No SubType,Required,"['Damage: Force', 'Damage', 'Control', 'Combat', 'Jewelry']"

Ring of Three Wishes,Legendary,Ring,No SubType,Not Required,"['Buff', 'Utility', 'Consumable', 'Jewelry']"

Ring of Truth Telling,Uncommon,Ring,No SubType,Required,['Advantage: Insight']

Ring of Warmth,Uncommon,Ring,No SubType,Required,"['Resistance: Cold', 'Exploration', 'Warding', 'Jewelry']"

Ring of Water Elemental Command,Legendary,Ring,No SubType,Required,"['Set: Innate Speed (Swimming)', 'Walk on Liquid Surfaces', 'Breathe Underwater', 'Control', 'Buff', 'Movement', 'Jewelry']"

Ring of Water Walking,Uncommon,Ring,No SubType,Not Required,"['Walk on Liquid Surfaces', 'Movement', 'Jewelry']"

Ring of Winter,Artifact,Ring,No SubType,Required,"['Immunity: Cold', 'Control', 'Buff', 'Utility', 'Deception', 'Warding', 'Sentient']"

Ring of X-ray Vision,Rare,Ring,No SubType,Required,"['See Into and Through Solid Matter Within 30 Feet', 'Detection', 'Utility', 'Jewelry']"

Rings of Shared Suffering,Uncommon,Ring,No SubType,Required,['']

Risian Pine Focus,Common,Wondrous Item,No SubType,Required,"['Combat', 'Focus']"

Robe of Eyes,Rare,Wondrous Item,No SubType,Required,"['Advantage: Perception', 'Set Base: Darkvision', 'See Invisible (and into Ethereal Plane) within 120 ft.', 'Detection', 'Outerwear']"

Robe of Scintillating Colors,Very Rare,Wondrous Item,No SubType,Required,"['Stunned', 'Control', 'Debuff', 'Outerwear']"

Robe of Serpents,Uncommon,Wondrous Item,No SubType,Required,['Summoning']

Robe of Stars,Very Rare,Wondrous Item,No SubType,Required,"['Bonus: Saving Throws', 'Teleportation', 'Damage', 'Combat', 'Warding', 'Outerwear']"

Robe of Summer,Rare,Wondrous Item,No SubType,Required,"['Resistance: Cold', 'Buff']"

Robe of the Archmagi,Legendary,Wondrous Item,No SubType,Required,"['Set: Unarmored Armor Class', 'Advantage: Saving Throws', 'Bonus: Spell Attacks', 'Bonus: Spell Save DC', 'sorcerer', 'warlock', 'or wizard', 'Buff', 'Warding', 'Outerwear']"

Robe of Useful Items,Uncommon,Wondrous Item,No SubType,Not Required,"['Utility', 'Outerwear']"

Rod of Absorption,Very Rare,Rod,No SubType,Required,"['Utility', 'Warding']"

Rod of Alertness,Very Rare,Rod,No SubType,Required,"['Advantage: Perception', 'Advantage: Initiative', 'Bonus: Passive Perception', 'Detection', 'Utility', 'Warding']"

Rod of Lordly Might,Legendary,Rod,No SubType,Required,"['Damage', 'Control', 'Utility', 'Exploration', 'Combat']"

Rod of Resurrection,Legendary,Rod,No SubType,Required,"['cleric', 'druid', 'or paladin', 'Healing']"

Rod of Retribution,Uncommon,Rod,No SubType,Required,['']

Rod of Rulership,Rare,Rod,No SubType,Required,"['Charmed', 'Control']"

Rod of Security,Very Rare,Rod,No SubType,Not Required,"['Healing', 'Teleportation', 'Utility']"

Rod of the Pact Keeper,Varies,Rod,No SubType,Required,"['Bonus: Warlock Spell Attacks', 'Bonus: Warlock Spell Save DC', 'Warlock', 'Buff']"

Rod of the Vonindod,Rare,Rod,No SubType,Required,['Detection']

Rope of Climbing,Uncommon,Wondrous Item,No SubType,Not Required,"['Advantage: Athletics', 'Movement', 'Utility', 'Exploration']"

Rope of Entanglement,Rare,Wondrous Item,No SubType,Not Required,"['Restrained', 'Control']"

Rope of Mending,Common,Wondrous Item,No SubType,Not Required,"['Utility', 'Exploration']"

Rotor of Return,Very Rare,Wondrous Item,No SubType,Required,['Bonus: Constitution Saving Throws']

Ruby of the War Mage,Common,Wondrous Item,No SubType,Required,['spellcaster']

Ruby Weave Gem,Legendary,Wondrous Item,No SubType,Required,['Spellcaster']

Ruinblade,Legendary,Weapon,Greatsword,Required,"['Bonus: Magic', 'Damage: Force', 'Heavy', 'Two-Handed']"

Ruin's Wake,Artifact,Weapon,Spear,Required,"['Language: Orc', 'Language: Abyssal', 'Bonus: Magic', 'Thrown', 'Versatile']"

Ruinstone,Artifact,Wondrous Item,No SubType,Not Required,['']

Saddle of the Cavalier,Uncommon,Wondrous Item,No SubType,Not Required,"[""Can't be Dismounted Against Your Will"", 'Movement', 'Warding']"

Saint Markovia�s Thighbone,Rare,Weapon,Mace,Required,"['Damage: Radiant', 'Damage', 'Combat']"

Sapphire Buckler,Very Rare,Armor,Shield,Required,"['Resistance: Psychic', 'Resistance: Thunder']"

Scaled Ornament,Varies,Wondrous Item,No SubType,Required,"['Bonus: Armor Class', 'Immunity: Charmed', 'Immunity: Frightened', 'Advantage: Saving Throws', 'Set: Innate Speed (Flying)']"

Scarab of Protection,Legendary,Wondrous Item,No SubType,Required,"['Advantage: Saving Throws', 'Warding', 'Consumable', 'Jewelry']"

Scimitar of Speed,Very Rare,Weapon,Scimitar,Required,"['Bonus: Magic', 'Extra Attack as Bonus Action', 'Damage', 'Combat', 'Finesse', 'Light']"

Scissors of Shadow Snipping,Rare,Wondrous Item,No SubType,Required,['Fey or a Spellcaster']

Scorpion Armor,Rare,Armor,Plate,Required,"['Bonus: Initiative', 'Buff', 'Cursed', 'Str 15 Required', 'Stealth Disadvantage']"

Scribe�s Pen,Common,Wondrous Item,No SubType,Required,['creature with the Mark of Scribing']

Scroll of Protection,Rare,Scroll,No SubType,Not Required,['Warding']

Scroll of Tarrasque Summoning,Legendary,Scroll,No SubType,Not Required,['']

Scroll of the Comet,Legendary,Scroll,No SubType,Not Required,"['Damage', 'Consumable']"

Seeker Dart,Uncommon,Weapon,Dart,Not Required,"['Damage: Lightning', 'Damage', 'Control', 'Finesse', 'Thrown']"

Sekolahian Worshiping Statuette,Common,Wondrous Item,No SubType,Not Required,['']

Sending Stone,Uncommon,Wondrous Item,No SubType,Not Required,['']

Sending Stones,Uncommon,Wondrous Item,No SubType,Not Required,['Communication']

Sentinel Shield,Uncommon,Armor,Shield,Not Required,"['Advantage: Initiative', 'Advantage: Perception', 'Bonus: Passive Perception', 'Detection', 'Warding']"

Serpent Scale Armor,Uncommon,Armor,Scale Mail,Not Required,"['Set: AC Max Dex Modifier', 'Stealth Disadvantage']"

Serpent�s Fang,Rare,Weapon,Longsword,Not Required,"['Damage: Poison', 'Versatile']"

Shadowfell Brand Tattoo,Rare,Wondrous Item,No SubType,Required,"['Sense: Darkvision', 'Advantage: Stealth']"

Shadowfell Shard,Rare,Wondrous Item,No SubType,Required,['sorcerer']

Shard of the Ise Rune,Very Rare,Wondrous Item,No SubType,Required,"['Resistance: Fire', 'Damage', 'Control', 'Warding']"

Shatterspike,Uncommon,Weapon,Longsword,Required,"['Bonus: Magic', 'Damage', 'Buff', 'Combat', 'Versatile']"

Shavarran Birch Focus,Common,Wondrous Item,No SubType,Required,"['Combat', 'Focus']"

Shield Guardian Amulet,Rare,Wondrous Item,No SubType,Required,['humanoid']

Shield of Expression,Common,Armor,Shield,Not Required,['Social']

Shield of Far Sight,Rare,Armor,Shield,Not Required,['']

Shield of Missile Attraction,Rare,Armor,Shield,Required,"['Resistance: Ranged Attacks', 'Warding', 'Cursed']"

Shield of the Hidden Lord,Legendary,Armor,Shield,Required,"['Bonus: Armor Class', 'Resistance: Fire']"

Shield of the Uven Rune,Very Rare,Armor,Shield,Required,"['Immunity: Cold', 'Damage', 'Warding']"

"Shield, +1",Uncommon,Armor,Shield,Not Required,"['Bonus: Armor Class', 'Combat', 'Warding']"

"Shield, +2",Rare,Armor,Shield,Not Required,"['Bonus: Armor Class', 'Combat', 'Warding']"

"Shield, +3",Very Rare,Armor,Shield,Not Required,"['Bonus: Armor Class', 'Combat', 'Warding']"

Shiftweave,Common,Wondrous Item,No SubType,Not Required,['']

Silken Spite,Artifact,Weapon,Rapier,Required,"['Language: Abyssal', 'Language: Elvish', 'Language: Undercommon', 'Sense: Darkvision', 'Bonus: Magic', 'Set: Innate Speed (Climbing)', 'Finesse']"

Silverquill Primer,Uncommon,Wondrous Item,No SubType,Required,"['Bonus: Intimidation', 'Bonus: Persuasion', 'spellcaster']"

Siren Song Lyre,Rare,Wondrous Item,No SubType,Required,['']

Skyblinder Staff,Uncommon,Staff,No SubType,Required,"['Bonus: Magic', 'Bonus: Spell Attacks']"

Sling Bullets of Althemone,Very Rare,Weapon,No SubType,Not Required,['Bonus: Magic']

Slippers of Spider Climbing,Uncommon,Wondrous Item,No SubType,Required,"['Set: Innate Speed (Climbing)', 'Movement', 'Footwear']"

Smokepowder,Uncommon,Wondrous Item,No SubType,Not Required,['']

Smoldering Armor,Common,Armor,Hide,Not Required,['']

Snicker-Snack,Legendary,Weapon,Greatsword,Required,"['Bonus: Magic', 'Proficiency: Greatsword', 'Bonus: Magic Item Attack With Charisma', 'Non-evil Creature', 'Heavy', 'Two-Handed']"

Soul Coin,Uncommon,Wondrous Item,No SubType,Not Required,['']

Sovereign Glue,Legendary,Wondrous Item,No SubType,Not Required,"['Utility', 'Consumable']"

Speaking Stone,Very Rare,Wondrous Item,No SubType,Not Required,['Communication']

Spear of Backbiting,Very Rare,Weapon,Spear,Required,"['Bonus: Magic', 'Bonus: Weapon Attack Range', 'Damage: Additional', 'Damage', 'Buff', 'Combat', 'Cursed', 'Thrown', 'Versatile']"

Spell Bottle,Legendary,Wondrous Item,No SubType,Required,['']

Spell Gem,Varies,Wondrous Item,No SubType,Required,"['Spellcaster if Seeking to Imbue the Gem', 'Utility']"

Spell Gem (Amber),Very Rare,Wondrous Item,No SubType,Required,"['Spellcaster if Seeking to Imbue the Gem', 'Utility']"

Spell Gem (Bloodstone),Rare,Wondrous Item,No SubType,Required,"['Spellcaster if Seeking to Imbue the Gem', 'Utility']"

Spell Gem (Diamond),Legendary,Wondrous Item,No SubType,Required,"['Spellcaster if Seeking to Imbue the Gem', 'Utility']"

Spell Gem (Jade),Very Rare,Wondrous Item,No SubType,Required,"['Spellcaster if Seeking to Imbue the Gem', 'Utility']"

Spell Gem (Lapis Lazuli),Uncommon,Wondrous Item,No SubType,Required,"['Spellcaster if Seeking to Imbue the Gem', 'Utility']"

Spell Gem (Obsidian),Uncommon,Wondrous Item,No SubType,Required,"['Spellcaster if Seeking to Imbue the Gem', 'Utility']"

Spell Gem (Quartz),Rare,Wondrous Item,No SubType,Required,"['Spellcaster if Seeking to Imbue the Gem', 'Utility']"

Spell Gem (Ruby),Legendary,Wondrous Item,No SubType,Required,"['Spellcaster if Seeking to Imbue the Gem', 'Utility']"

Spell Gem (Star Ruby),Legendary,Wondrous Item,No SubType,Required,"['Spellcaster if Seeking to Imbue the Gem', 'Utility']"

Spell Gem (Topaz),Very Rare,Wondrous Item,No SubType,Required,"['Spellcaster if Seeking to Imbue the Gem', 'Utility']"

Spell Scroll,Varies,Scroll,No SubType,Not Required,"['Utility', 'Consumable']"

Spellguard Shield,Very Rare,Armor,Shield,Required,"['Advantage: Saving Throws', 'Combat', 'Warding']"

Spellshard,Common,Wondrous Item,No SubType,Not Required,['']

Spellwrought Tattoo,Varies,Wondrous Item,No SubType,Not Required,['']

Sphere of Annihilation,Legendary,Wondrous Item,No SubType,Not Required,"['Damage: Force', 'Damage', 'Control', 'Combat']"

Spider Staff,Rare,Staff,No SubType,Required,"['Damage: Poison', 'Damage', 'Combat']"

Spies� Murmur,Uncommon,Wondrous Item,No SubType,Required,['']

Spyglass of Clairvoyance,Common,Wondrous Item,No SubType,Not Required,['']

Staff of Adornment,Common,Staff,No SubType,Not Required,['']

Staff of Birdcalls,Common,Staff,No SubType,Not Required,['Utility']

Staff of Charming,Rare,Staff,No SubType,Required,"['Bard', 'Cleric', 'Druid', 'Sorcerer', 'Warlock', 'or Wizard', 'Control', 'Communication']"

Staff of Defense,Rare,Staff,No SubType,Required,"['Bonus: Armor Class', 'Buff', 'Warding']"

Staff of Dunamancy,Very Rare,Staff,No SubType,Required,['wizard']

Staff of Fate,Very Rare,Staff,Quarterstaff,Required,"['Bonus: Magic', 'Versatile']"

Staff of Fire,Very Rare,Staff,No SubType,Required,"['Resistance: Fire', 'Druid', 'Sorcerer', 'Warlock', 'or Wizard', 'Damage', 'Control', 'Combat', 'Warding']"

Staff of Flowers,Common,Staff,No SubType,Not Required,['Social']

Staff of Frost,Very Rare,Staff,No SubType,Required,"['Resistance: Cold', 'Druid', 'Sorcerer', 'Warlock', 'or Wizard', 'Damage', 'Control', 'Combat', 'Warding']"

Staff of Healing,Rare,Staff,No SubType,Required,"['Bard', 'Cleric', 'or Druid', 'Healing']"

Staff of Power,Very Rare,Staff,No SubType,Required,"['Damage: Force', 'Bonus: Saving Throws', 'Bonus: Armor Class', 'Bonus: Spell Attacks', 'Bonus: Magic', 'Sorcerer', 'Warlock', 'or Wizard', 'Damage', 'Control', 'Combat', 'Warding']"

Staff of Striking,Very Rare,Staff,No SubType,Required,"['Bonus: Magic', 'Damage: Force', 'Damage', 'Combat']"

Staff of Swarming Insects,Rare,Staff,No SubType,Required,"['Bard', 'Cleric', 'Druid', 'Sorcerer', 'Warlock', 'or Wizard', 'Summoning', 'Control']"

Staff of the Adder,Uncommon,Staff,No SubType,Required,"['cleric', 'druid', 'or warlock', 'Summoning', 'Damage']"

Staff of the Forgotten One,Artifact,Staff,No SubType,Required,"['Immunity: Blinded', 'Immunity: Charmed', 'Immunity: Deafened', 'Immunity: Frightened', 'Immunity: Petrified', 'Immunity: Stunned', 'Bonus: Magic', 'Damage: Necrotic', 'sorcerer', 'warlock', 'or wizard', 'Damage', 'Buff', 'Combat', 'Cursed']"

Staff of the Ivory Claw,Rare,Staff,No SubType,Required,"['Bonus: Spell Attacks', 'spellcaster']"

Staff of the Magi,Legendary,Staff,No SubType,Required,"['Bonus: Magic', 'Bonus: Spell Attacks', 'Advantage: Saving Throws', 'Sorcerer', 'Warlock', 'or Wizard', 'Damage', 'Control', 'Detection', 'Combat', 'Deception', 'Warding']"

Staff of the Python,Uncommon,Staff,No SubType,Required,"['Cleric', 'Druid', 'or Warlock', 'Summoning', 'Control']"

Staff of the Woodlands,Rare,Staff,No SubType,Required,"['Bonus: Magic', 'Bonus: Spell Attacks', 'Druid', 'Creation', 'Control', 'Communication', 'Detection', 'Warding']"

Staff of Thunder and Lightning,Very Rare,Staff,No SubType,Required,"['Bonus: Magic', 'Deafened', 'Stunned', 'Damage', 'Control', 'Debuff', 'Combat']"

Staff of Withering,Rare,Staff,No SubType,Required,"['Damage: Necrotic', 'Cleric', 'Druid', 'or Warlock', 'Damage', 'Debuff', 'Combat']"

Steel,Very Rare,Weapon,Longsword,Required,"['Bonus: Magic', 'Good-aligned Creature', 'Versatile']"

Stone of Controlling Earth Elementals,Rare,Wondrous Item,No SubType,Not Required,['Summoning']

Stone of Golorr,Artifact,Wondrous Item,No SubType,Required,['']

Stone of Good Luck (Luckstone),Uncommon,Wondrous Item,No SubType,Required,"['Bonus: Ability Checks', 'Bonus: Saving Throws', 'Bonus: Initiative', 'Buff']"

Stone of Ill Luck,Uncommon,Wondrous Item,No SubType,Required,"['Bonus: Ability Checks', 'Bonus: Saving Throws', 'Cursed']"

Stonespeaker Crystal,Rare,Wondrous Item,No SubType,Required,"['Bonus: Passive Investigation', 'Advantage: Investigation', 'Communication', 'Detection']"

Stonky�s ring,Unknown Rarity,Ring,No SubType,Required,"['Control', 'Utility', 'Jewelry']"

Storm Boomerang,Uncommon,Weapon,Boomerang,Not Required,"['Damage: Thunder', 'Stunned', 'Damage', 'Range']"

Stormgirdle,Legendary,Wondrous Item,No SubType,Required,"['Set: Strength Score', 'Resistance: Thunder', 'Resistance: Lightning']"

Strixhaven Pennant,Common,Wondrous Item,No SubType,Not Required,['']

Sun Blade,Rare,Weapon,Longsword,Required,"['Bonus: Magic', 'Damage: Radiant', 'Replace Damage Type: Radiant', 'Weapon Property: Finesse', 'Damage', 'Combat', 'Versatile']"

Sunforger,Rare,Weapon,Warhammer,Required,"['Bonus: Magic', 'Versatile']"

Sunsword,Legendary,Weapon,Longsword,Required,"['Bonus: Magic', 'Damage: Radiant', 'Weapon Property: Finesse', 'Replace Damage Type: Radiant', 'Damage', 'Combat', 'Versatile']"

Sword of Answering,Legendary,Weapon,Longsword,Required,"['Bonus: Magic', 'creature with the same alignment as the sword', 'Damage', 'Control', 'Combat', 'Versatile']"

Sword of Kas,Artifact,Weapon,Longsword,Required,"['Bonus: Magic', 'Bonus: Initiative', 'Damage', 'Buff', 'Debuff', 'Combat', 'Cursed', 'Versatile']"

Sword of Life Stealing,Rare,Weapon,No SubType,Required,"['Damage: Necrotic', 'Bonus: Temporary Hit Points', 'Healing', 'Damage', 'Combat']"

Sword of Sharpness,Very Rare,Weapon,No SubType,Required,"['Damage: Slashing', 'Damage', 'Combat']"

Sword of the Paruns,Very Rare,Weapon,Longsword,Required,"['Bonus: Magic', 'Versatile']"

Sword of Vengeance,Uncommon,Weapon,No SubType,Required,"['Bonus: Magic', 'Damage', 'Combat', 'Cursed']"

Sword of Wounding,Rare,Weapon,No SubType,Required,"['Damage: Necrotic', 'Damage', 'Combat']"

Sword of Zariel,Artifact,Weapon,Longsword,Required,"['Language: Celestial', 'Resistance: Radiant', 'Resistance: Necrotic', 'Set: Charisma Score', 'Set: Speed (Flying)', 'Sense: Truesight', 'Damage: Radiant', 'Advantage: Insight', 'creature the sword deems worthy', 'Versatile']"

Talisman of Pure Good,Legendary,Wondrous Item,No SubType,Required,"['Bonus: Spell Attacks', 'Creature of Good Alignment', 'Control', 'Buff', 'Jewelry']"

Talisman of the Sphere,Legendary,Wondrous Item,No SubType,Required,"['Control', 'Buff', 'Utility']"

Talisman of Ultimate Evil,Legendary,Wondrous Item,No SubType,Required,"['Bonus: Spell Attacks', 'Creature of Evil Alignment', 'Control', 'Buff', 'Jewelry']"

Talking Doll,Common,Wondrous Item,No SubType,Required,['Social']

Tankard of Plenty,Common,Wondrous Item,No SubType,Not Required,['']

Tankard of Sobriety,Common,Wondrous Item,No SubType,Not Required,['Social']

Teeth of Dahlver-Nar,Artifact,Wondrous Item,No SubType,Required,['']

Tentacle Rod,Rare,Rod,No SubType,Required,"['Damage: Bludgeoning', 'Damage', 'Control', 'Debuff']"

The Bloody End,Artifact,Weapon,Morningstar,Required,"['Language: Infernal', 'Advantage: Intimidation', 'Bonus: Magic']"

The Codicil of White,Unknown Rarity,Wondrous Item,No SubType,Not Required,['Resistance: Cold']

The Infernal Machine of Lum the Mad,Artifact,Wondrous Item,No SubType,Required,['']

Thermal Cube,Common,Wondrous Item,No SubType,Not Required,['']

Thessaltoxin Antidote,Uncommon,Potion,No SubType,Not Required,['']

Timepiece of Travel,Very Rare,Wondrous Item,No SubType,Required,['Bonus: Dexterity Saving Throws']

Tinderstrike,Legendary,Weapon,Dagger,Required,"['Bonus: Magic', 'Damage: Fire', 'Language: Ignan', 'Resistance: Fire', 'Damage', 'Buff', 'Combat', 'Finesse', 'Light', 'Thrown']"

Tome of Clear Thought,Very Rare,Wondrous Item,No SubType,Not Required,"['Bonus: Intelligence Score', 'Bonus: Ability Score Maximum', 'Buff']"

Tome of Leadership and Influence,Very Rare,Wondrous Item,No SubType,Not Required,"['Bonus: Charisma Score', 'Bonus: Ability Score Maximum', 'Buff']"

Tome of the Stilled Tongue,Legendary,Wondrous Item,No SubType,Required,"['wizard', 'Utility']"

Tome of Understanding,Very Rare,Wondrous Item,No SubType,Not Required,"['Bonus: Wisdom Score', 'Bonus: Ability Score Maximum', 'Buff']"

Travel Alchemical Kit,Uncommon,Wondrous Item,No SubType,Not Required,"[""Proficiency: Poisoner's Kit""]"

Trident of Fish Command,Uncommon,Weapon,Trident,Required,"['Damage', 'Control', 'Combat', 'Thrown', 'Versatile']"

Two-Birds Sling,Rare,Weapon,Sling,Not Required,"['Bonus: Magic', 'Ammunition', 'Range']"

Unbreakable Arrow,Common,Weapon,No SubType,Not Required,['']

